Country,Population,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active,Serious_Critical,Total_Cases_per_1M_pop,Deaths_per_1M_pop,Total_Tests,Tests_per_1M_pop
New Caledonia,285769,22,,,,22,,0,,77,,11099,38839
Laos,7285750,20,,,,19,,1,,3,,29374,4032
Dominica,72004,18,,,,18,,0,,250,,1005,13958
Saint Kitts and Nevis,53237,17,,,,16,,1,,319,,1146,21526
Greenland,56780,14,,,,14,,0,,247,,5977,105266
Montserrat,4992,13,,1,,10,,2,,2604,200,61,12220
Caribbean Netherlands,26247,13,,,,7,,6,,495,,424,16154
Falkland Islands,3489,13,,,,13,,0,,3726,,1816,520493
Vatican City,801,12,,,,12,,0,,14981,,,
Western Sahara,598682,10,,1,,8,,1,,17,2,,
